CurrentVR2WStatus,Receiver,Model,Map_Version,Transmitter,Tag_ID,StationName,Latitude,Longitude,River,Subsystem,RKM,Depth_ft,Rig,Battery_ch,Deployed,Deploy_Time,Retrieval_Date,Retrieval_Time,Project,VR2Owner,Launch,Hobo,Notes,
SHELVED,112913,VR2W,115,NA,NA,BI_NDK3,30.2539,-88.8081,MSS,BI,0,3,BUOY,September,9/27/2021,14:49,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,121068,VR2W,115,NA,NA,BI_NDK4,30.2539,-88.7958,MSS,BI,0,2.4,BUOY,September,9/27/2021,14:45,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,112911,VR2W,115,NA,NA,BI_NDK5,30.2543,-88.7839,MSS,BI,0,2.5,BUOY,September,9/27/2021,16:44,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,110884,VR2W,115,NA,NA,BI_NDK6,30.2575,-88.8439,MSS,BI,0,6.1,BUOY,September,9/27/2021,15:02,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,111438,VR2W,115,NA,NA,BI_NDK7,30.2562,-88.8203,MSS,BI,0,3.7,BUOY,September,9/27/2021,14:52,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,114201,VR2W,115,NA,NA,BI_NDK8,30.2544,-88.7715,MSS,BI,0,6.8,BUOY,September,9/27/2021,16:37,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,121059,VR2W,115,NA,NA,BI_SDK1,30.2409,-88.854,MSS,BI,0,2.6,BUOY,September,9/27/2021,13:05,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,121063,VR2W,115,NA,NA,BI_SDK2,30.2428,-88.843,MSS,BI,0,4.4,BUOY,September,9/27/2021,13:00,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,112904,VR2W,115,NA,NA,BI_SDK3,30.2409,-88.8202,MSS,BI,0,3.1,BUOY,September,9/27/2021,12:51,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,112907,VR2W,115,NA,NA,BI_SDK4,30.2388,-88.7971,MSS,BI,0,4.3,BUOY,September,9/27/2021,12:43,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,115342,VR2W,115,NA,NA,BI_SDK5,30.241,-88.8315,MSS,BI,0,3.2,BUOY,September,9/27/2021,12:56,,,ShipIsland,ERDC,GCRL,NA,,
MISSING,119074,VR2W,115,NA,NA,BI_SDK6,30.2384,-88.8086,MSS,BI,0,2.5,BUOY,September,9/27/2021,12:47,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,119177,VR2W,115,NA,NA,BI_SIP1,30.2126,-89.0024,MSS,BI,0,5.8,BUOY,September,9/9/2021,11:26,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,119180,VR2W,115,NA,NA,BI_SIP2,30.2141,-89.015,MSS,BI,0,5.9,BUOY,September,9/9/2021,11:20,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,120603,VR2W,115,NA,NA,BI_SIP3,30.2164,-89.028,MSS,BI,0,5.6,BUOY,September,9/9/2021,11:15,11/8/2021,13:37,ShipIsland,GP,GCRL,NA,,
SHELVED,133461,VR2W,115,NA,NA,BI_SIP3,30.2164,-89.028,MSS,BI,0,5.6,BUOY,September,11/8/2021,13:43,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,110871,VR2W,115,NA,NA,BI_SIP4,30.2177,-89.0402,MSS,BI,0,5,BUOY,September,9/9/2021,11:10,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,120605,VR2W,115,NA,NA,BI_SIP5,30.2213,-89.0513,MSS,BI,0,4.4,BUOY,September,9/9/2021,11:04,11/8/2021,13:58,ShipIsland,GP,GCRL,NA,,
SHELVED,133458,VR2W,115,NA,NA,BI_SIP5,30.2213,-89.0513,MSS,BI,0,4.4,BUOY,September,11/8/2021,14:01,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,120606,VR2W,115,NA,NA,BI_SIP6,30.224,-89.0648,MSS,BI,0,3.2,BUOY,September,9/9/2021,10:59,11/8/2021,14:05,ShipIsland,GP,GCRL,NA,,
SHELVED,133456,VR2W,115,NA,NA,BI_SIP6,30.224,-89.0648,MSS,BI,0,3.2,BUOY,September,11/8/2021,14:08,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,133460,VR2W,115,NA,NA,BI_WS_CAN,30.2034,-88.9934,MSS,BI,0,10.8,CAN,September,,,,,ShipIsland,ERDC,GCRL,NA,,
MISSING,133452,VR2W,115,NA,NA,BI_WS_NO1,30.2288,-88.9619,MSS,BI,0,5.9,BUOY,September,9/27/2021,11:10,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,133451,VR2W,115,NA,NA,BI_WS_NO2,30.2388,-88.9615,MSS,BI,0,5.6,BUOY,September,9/27/2021,11:16,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,133453,VR2W,115,NA,NA,BI_WS_SO1,30.1934,-88.9576,MSS,BI,0,6.6,BUOY,September,9/27/2021,8:52,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,133450,VR2W,115,NA,NA,BI_WS_SO2,30.1833,-88.9572,MSS,BI,0,7.8,BUOY,September,9/27/2021,8:57,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,121061,VR2W,115,NA,NA,BI_WS1,30.2162,-88.9852,MSS,BI,0,8.1,BUOY,September,9/9/2021,11:34,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,121053,VR2W,115,NA,NA,BI_WS2,30.2222,-88.9844,MSS,BI,0,7.4,BUOY,September,9/9/2021,11:31,11/8/2021,13:00,ShipIsland,ERDC,GCRL,NA,,
SHELVED,121053,VR2W,115,NA,NA,BI_WS2,30.2159,-88.9914,MSS,BI,0,7.4,BUOY,September,11/8/2021,13:20,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,112903,VR2W,115,NA,NA,BI_WS3,30.205,-88.9817,MSS,BI,0,5.2,BUOY,September,9/9/2021,10:37,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,112908,VR2W,115,NA,NA,BI_WS4,30.2082,-88.9875,MSS,BI,0,4.9,BUOY,September,9/9/2021,10:41,11/8/2021,14:26,ShipIsland,ERDC,GCRL,NA,,
SHELVED,487507,VR2Tx,115,A69-1601-MSS,62973,BI_WS4,30.2082,-88.9875,MSS,BI,0,4.9,BUOY,September,11/8/2021,14:29,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,112918,VR2W,115,NA,NA,BI_WS5,30.2185,-88.9622,MSS,BI,0,7,BUOY,September,9/9/2021,11:40,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,124194,VR2W,115,NA,NA,BI_WS6,30.2208,-88.9491,MSS,BI,0,4.3,BUOY,September,9/9/2021,11:45,,,ShipIsland,ERDC,GCRL,NA,,
MISSING,124189,VR2W,115,NA,NA,BI_WS7,30.2024,-88.9711,MSS,BI,0,6.4,BUOY,September,9/9/2021,10:33,11/8/2021,14:38,ShipIsland,ERDC,GCRL,NA,,
MISSING,124189,VR2W,115,NA,NA,BI_WS7,30.2034,-88.97,MSS,BI,0,6.4,BUOY,September,11/8/2021,14:47,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,124191,VR2W,115,NA,NA,BI_WS8,30.2039,-88.9584,MSS,BI,0,6.2,BUOY,September,9/9/2021,10:28,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,124190,VR2W,115,NA,NA,BI_WS9,30.2072,-88.947,MSS,BI,0,5.3,BUOY,September,9/9/2021,10:23,,,ShipIsland,ERDC,GCRL,NA,,
DEPLOYED,136135,VR2W,115,NA,NA,BO_ChurchRd,31.52535,-89.59625,PR,BO,300.8682,2ft,Tree,Feb,2/16/2022,12:56,,,Prj1,FWS-Prj1,Walk,20710734,Moved 25ft downriver of original deployment onto small tree due to active fishing trot lines,
SHELVED,136135,VR2W,115,NA,NA,BO_ChurchRd,31.52556,-89.5963,PR,BO,300.8682235,,Tree,Feb,,,,,Prj1,FWS-Prj1,Walk,NA,,
SHELVED,134607,VR2W,115,NA,NA,BO_Glendale,31.3492,-89.306,PR,BO,241.4899802,,Tree,Mar,4/1/2019,,,,Sec6/Prj1,EMEL,Glendale,NA,This station was also called SS_Upstream_Glendale; on tree aove sill,
DEPLOYED,134607,VR2W,115,NA,NA,BO_Glendale,31.3501,-89.3081,PR,BO,241.4899802,,Tree,Mar,,,,,Sec6/Prj1,EMEL,Glendale,,,
DEPLOYED,136140,VR2W,115,NA,NA,BO_Hwy49,31.42555,-89.41574,PR,BO,264.2224,,Tree,Feb,2/16/2022,15:24,,,Prj1,EMEL?,Hwy49,NA,"Off of large cypress tree, same one as last year.",
SHELVED,136170,VR2W,115,NA,NA,BO_HWY49,31.42551,-89.415524,PR,BO,264.2223821,,Bridge,Feb,,,9/14/2021,,Prj1,FWS-Prj1,Hwy49,NA,*WRITTEN ON DATA SHEET BUT NO RECORD,
SHELVED,136170,VR2W,115,NA,NA,BO_Hwy49,31.42551,-89.415524,PR,BO,264.2223821,,Bridge,Feb,,,,,Prj1,FWS-Prj1,Hwy49,NA,"""Broke"" during update. Lost connection and is no longer able to connect. Wasn't used for redeployment for 2022",
DEPLOYED,136150,VR2W,115,NA,NA,BO_I589,31.47144,-89.52189,PR,BO,282.7127,,Tree,Feb,2/16/2022,13:46,,,Prj1,FWS-Prj1,Walk,NA,Tree rig attached to bridge,
SHELVED,136150,VR2W,115,NA,NA,BO_I589,31.47148,-89.5219,PR,BO,282.7126689,,Bridge,Feb,,,,,Prj1,FWS-Prj1,Walk,NA,1st bridge column,
DEPLOYED,112001,VR2W,115,NA,NA,BO_Kola,31.62581,-89.52937,PR,BO,277.135,3ft,Tree,Feb,2/16/2022,11:04,,,Prj1,USFWS-AK,Kola rd.,20710779,"At Kola boat ramp, above sill attached to curved tree upriver on western bank",
SHELVED,136142,VR2W,115,NA,NA,BO_Lower,31.37423,-89.3497,PR,BO,248.7917892,,Tree,Feb,,,9/14/2021,,Prj1,FWS-Prj1,Glendale,NA,Downstream of bend on birch tree,
DEPLOYED,136146,VR2W,115,NA,NA,BO_Lux,31.44308,-89.40607,PR,BO,264.8082,,Tree,Feb,2/16/2022,14:37,,,Prj1,FWS-Prj1,Walk,20710742,"Downstream 3rd woodpiling, closest to the middle of the river, farthest from bank",
SHELVED,136146,VR2W,115,NA,NA,BO_Lux,31.44306,-89.4061,PR,BO,264.8081683,,Bridge,Feb,,,,,Prj1,FWS-Prj1,Walk,NA,Middle wooden piling,
DEPLOYED,134605,VR2W,,NA,NA,BO_Mouth,31.34488,-89.28221,PR,BO,238.581918,,Tree,Jun,4/1/2019,,,,Sec6/Prj1,EMEL,Hwy11,NA,This was originally called Bouie Down and the coordinates were originally entered incorrectly at 31.34750 -88.28720,
DEPLOYED,137118,VR2W,,NA,NA,BO_N_Mid,31.35662,-89.3107,PR,BO,242.5786765,,Tree,Jan,,,,,Spawn/Prj1,EMEL,Glendale,NA,,
DEPLOYED,485639,VR2Tx,,A69-1601-62458,62458,BO_N_Pit,31.35237,-89.3075,PR,BO,241.9847429,,Tree,Jan,2/2/2021,NA,,,Spawn/Prj1,EMEL,Glendale,NA,set 2/2/21 14:53,
DEPLOYED,137119,VR2W,,NA,NA,BO_N_Upper,31.35841,-89.3236,PR,BO,244.0306391,,Tree,Jan,,,,,Spawn/Prj1,EMEL,Glendale,NA,,
DEPLOYED,105266,VR2W,115,NA,NA,BO_PF_01,31.34549,-89.29329,BO,BO,239.681918,,Tree,June ,5/10/2022,10:33,,,Pet,EMEL,11 bridge,NA,,
DEPLOYED,133457,VR2W,115,NA,NA,BO_PF_02,31.34951,-89.29532,BO,BO,240.131918,,Tree,June ,5/9/2022,12:32,,,Pet,EMEL,11 bridge,NA,,
DEPLOYED,111434,VR2W,115,NA,NA,BO_PF_03,31.351621,-89.296279,BO,BO,240.251918,,Tree,June ,5/10/2022,11:05,,,Pet,EMEL,11 bridge,NA,,
DEPLOYED,136151,VR2W,115,NA,NA,BO_PF_04,31.34919,-89.30236,BO,BO,240.761918,,Tree,June ,5/9/2022,11:59,,,Pet,EMEL,11 bridge,NA,,
DEPLOYED,138230,VR2W,115,NA,NA,BO_PF005,31.356234,-89.318639,BO,BO,243.4786765,,Tree,June ,6/7/2022,15:52,,,Pet,EMEL,Glendale ,NA,,
SHELVED,136153,VR2W,115,NA,NA,BO_R_Peps_Point,31.3955,-89.36656,PR,BO,254.4423751,,Bridge,NA,2/2/2021,NA,9/14/2021,,Prj1,FWS-Prj1,Peps Point,NA,ALREADY DEPLOYED,
DEPLOYED,136153,VR2W,115,NA,NA,BO_R_Peps_Point,31.39558,-89.36664,PR,BO,254.4424,,Tree,Feb,2/16/2022,16:09,,,Prj1,FWS-Prj1,Peps Point,NA,3rd bridge piling on right bank(south side bank),
SHELVED,132307,VR2W,,NA,NA,BO_R_SS,31.35167,-89.30342,PR,BO,241.0841488,19.5,Tree,Jun,6/27/2019,,,,Sec6/Prj1,EMEL,,NA,USACE is owner; deployed 15:35 train tressel on the N side; missing 15-June-2020 found 16-June-2020 on gravel bar (Mike has a picture) MONUMENTAL,
DEPLOYED,485638,VR2Tx,,A69-1601-62457,62457,BO_R_SS_N,31.35024,-89.3049,PR,BO,241.3349456,,Tree,Jan,2/2/2021,NA,,,Spawn/Prj1,EMEL,Chain Park- Hattiesburg,NA,set 2/2/21 16:26,
DEPLOYED,136136,VR2W,115,NA,NA,BO_Seminary,31.56178,-89.50444,PR,BO,289.2748,3,Tree,Feb,2/16/2022,12:04,,,Prj1,FWS-Prj1,Seminary,NA,Walk in to same location/ tree as last year,
SHELVED,136136,VR2W,115,NA,NA,BO_Seminary,31.56184,-89.5045,PR,BO,289.274773,,Tree,Feb,,,,,Prj1,FWS-Prj1,Seminary,NA,"Nice launch, walked in, downstream of bridge",
