Station Name,Phylum,Class,Order,Family,Taxa,Rep A,Rep B,Rep C,Total
PSR2,Annelida,Polychaeta,Scolecida,Capitellidae,Mediomastus (LPIL),1,1,7,9
PSR2,Annelida,Polychaeta,Scolecida,Capitellidae,Notomastus latericeus,0,16,6,22
PSR2,Annelida,Polychaeta,Scolecida,Maldanidae,Sabaco elongatus,23,39,24,86
PSR2,Annelida,Polychaeta,Spionida,Chaetopteridae,Spiochaetopterus oculatus,0,1,1,2
PSR2,Annelida,Polychaeta,Spionida,Magelonidae,Magelona sp. I,1,0,0,1
PSR2,Annelida,Polychaeta,Spionida,Magelonidae,Magelona uebelackerae,3,2,4,9
PSR2,Annelida,Polychaeta,Spionida,Poecilochaetidae,Poecilochaetus johnsoni,0,2,0,2
PSR2,Annelida,Polychaeta,Spionida,Spionidae,Paraprionospio pinnata,5,1,2,8
PSR2,Annelida,Polychaeta,Terebellida,Cirratulidae,Chaetozone setosa,0,1,0,1
PSR2,Annelida,Polychaeta,Terebellida,Pectinariidae,Pectinaria gouldi,0,0,1,1
PSR2,Annelida,Polychaeta,Terebellida,Terebellidae,Loimia medusa,1,2,1,4
PSR2,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Monocorophium (LPIL),0,1,2,3
PSR2,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Pinnixa sayana,0,4,0,4
PSR2,Chordata,Leptocardii,Amphioxiformes,Branchiostomatidae,Branchiostoma (LPIL),1,0,0,1
PSR2,Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Amphiuridae (LPIL),0,4,2,6
PSR2,Echinodermata,,,,Echinodermata (LPIL),1,0,0,1
PSR2,Hemichordata,Enteropneusta,,Ptychoderidae,Balanoglossus (LPIL),0,1,0,1
PSR2,Mollusca,Bivalvia,Nuculanida,Nuculanidae,Nuculana concentrica,1,0,0,1
PSR2,Mollusca,Bivalvia,Pholadomyoida,Pandoridae,Pandora trilineata,2,1,3,6
PSR2,Mollusca,Bivalvia,Venerida,Veneridae,Veneridae (LPIL),4,3,1,8
PSR2,Mollusca,Bivalvia,Veneroida,Lasaeidae,Lasaeidae (LPIL),0,1,2,3
PSR2,Mollusca,Bivalvia,Veneroida,Semelidae,Semele proficua,0,0,2,2
PSR2,Mollusca,Bivalvia,Veneroida,Solenidae,Solen viridis,0,1,0,1
PSR2,Mollusca,Bivalvia,Veneroida,Tellinidae,Macoma tenta,1,0,0,1
PSR2,Mollusca,Bivalvia,Veneroida,Tellinidae,Scissula iris,0,0,1,1
PSR2,Mollusca,Bivalvia,,,Bivalvia (LPIL),0,0,1,1
PSR2,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,Turbonilla (LPIL),0,3,4,7
PSR2,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Nassarius acutus,0,1,0,1
PSR2,Mollusca,Gastropoda,,,Gastropoda (LPIL),0,1,2,3
PSR2,Nemertea,,,,Nemertea (LPIL),1,1,0,2
PSR2,Platyhelminthes,,,,Platyhelminthes (LPIL),1,1,1,3
PSR2,Sipuncula,Sipunculidea,Golfingiida,Phascolionidae,Phascolion strombus,2,1,4,7
PSR3,Annelida,Polychaeta,Amphinomida,Amphinomidae,Paramphinome sp. B,0,1,0,1
PSR3,Annelida,Polychaeta,Cossurida,Cossuridae,Cossura soyeri,2,1,0,3
PSR3,Annelida,Polychaeta,Eunicida,Lumbrineridae,Lumbrineridae (LPIL),1,0,0,1
PSR3,Annelida,Polychaeta,Eunicida,Lumbrineridae,Ninoe nigripes,1,0,0,1
PSR3,Annelida,Polychaeta,Orbiniida,Orbiniidae,Leitoscoloplos (LPIL),1,0,0,1
PSR3,Annelida,Polychaeta,Phyllodocida,Hesionidae,Hesionidae (LPIL),0,1,0,1
PSR3,Annelida,Polychaeta,Phyllodocida,Pilargidae,Sigambra tentaculata,1,1,0,2
PSR3,Annelida,Polychaeta,Phyllodocida,Polynoidae,Polynoidae (LPIL),0,0,1,1
PSR3,Annelida,Polychaeta,Scolecida,Capitellidae,Notomastus latericeus,3,3,6,12
PSR3,Annelida,Polychaeta,Scolecida,Maldanidae,Sabaco elongatus,32,21,19,72
PSR3,Annelida,Polychaeta,Spionida,Chaetopteridae,Spiochaetopterus oculatus,1,3,0,4
PSR3,Annelida,Polychaeta,Spionida,Spionidae,Paraprionospio pinnata,0,2,0,2
PSR3,Arthropoda,Malacostraca,Amphipoda,Liljeborgiidae ,Idunella barnardi,0,0,1,1
PSR3,Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Amphiuridae (LPIL),0,0,1,1
PSR3,Mollusca,Bivalvia,Nuculanida,Nuculanidae,Nuculana concentrica,1,1,0,2
PSR3,Sipuncula,Sipunculidea,Golfingiida,Phascolionidae,Phascolion strombus,0,1,0,1
PSR4,Annelida,Polychaeta,Cossurida,Cossuridae,Cossura soyeri,1,0,0,1
PSR4,Annelida,Polychaeta,Eunicida,Lumbrineridae,Lumbrineridae (LPIL),0,1,0,1
PSR4,Annelida,Polychaeta,Eunicida,Onuphidae,Diopatra cuprea,1,1,1,3
PSR4,Annelida,Polychaeta,Phyllodocida,Hesionidae,Podarkeopsis levifuscina,0,1,0,1
PSR4,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereididae (LPIL),1,0,0,1
PSR4,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis micromma,0,0,1,1
PSR4,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce arenae,1,0,0,1
PSR4,Annelida,Polychaeta,Phyllodocida,Pilargidae,Sigambra tentaculata,0,0,2,2
PSR4,Annelida,Polychaeta,Phyllodocida,Polynoidae,Malmgreniella maccraryae,0,1,0,1
PSR4,Annelida,Polychaeta,Scolecida,Capitellidae,Mediomastus (LPIL),1,5,3,9
PSR4,Annelida,Polychaeta,Scolecida,Maldanidae,Sabaco elongatus,0,0,1,1
PSR4,Annelida,Polychaeta,Spionida,Chaetopteridae,Spiochaetopterus oculatus,5,0,6,11
PSR4,Annelida,Polychaeta,Spionida,Magelonidae,Magelona sp. I,1,0,0,1
PSR4,Annelida,Polychaeta,Spionida,Magelonidae,Magelona uebelackerae,1,0,1,2
PSR4,Annelida,Polychaeta,Spionida,Spionidae,Paraprionospio pinnata,15,7,6,28
PSR4,Annelida,Polychaeta,Spionida,Spionidae,Prionospio perkinsi,0,1,0,1
PSR4,Annelida,Polychaeta,Terebellida,Ampharetidae,Ampharetidae (LPIL),0,0,2,2
PSR4,Annelida,Polychaeta,Terebellida,Cirratulidae,Chaetozone setosa,1,0,0,1
PSR4,Annelida,Polychaeta,Terebellida,Cirratulidae,Cirratulidae (LPIL),1,0,0,1
PSR4,Annelida,Polychaeta,Terebellida,Pectinariidae,Pectinaria gouldi,1,0,0,1
PSR4,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Monocorophium (LPIL),0,0,2,2
PSR4,Arthropoda,Malacostraca,Decapoda,Ogyrididae,Ogyrides alphaerostris,1,0,0,1
PSR4,Arthropoda,Malacostraca,Decapoda,Penaeidae,Penaeidae (LPIL),0,1,0,1
PSR4,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Pinnixa sayana,2,1,2,5
PSR4,Arthropoda,Malacostraca,Mysida,Mysidae,Americamysis (LPIL),0,0,1,1
PSR4,Cnidaria,Anthozoa,Actiniaria,,Actiniaria (LPIL),1,0,0,1
PSR4,Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Amphiuridae (LPIL),1,2,2,5
PSR4,Echinodermata,Ophiuroidea,Ophiurida,Ophiactidae,Hemipholis elongata,0,2,0,2
PSR4,Hemichordata,Enteropneusta,,Ptychoderidae,Balanoglossus (LPIL),2,1,3,6
PSR4,Mollusca,Bivalvia,Arcoida,Arcidae,Lunarca ovalis,0,2,0,2
PSR4,Mollusca,Bivalvia,Pholadomyoida,Lyonsiidae,Lyonsia floridana,1,0,0,1
PSR4,Mollusca,Bivalvia,Venerida,Veneridae,Veneridae (LPIL),1,0,1,2
PSR4,Mollusca,Bivalvia,Veneroida,Lasaeidae,Lasaeidae (LPIL),0,0,1,1
PSR4,Mollusca,Bivalvia,Veneroida,Tellinidae,Scissula iris,0,0,1,1
PSR4,Mollusca,Bivalvia,,,Bivalvia (LPIL),0,1,0,1
PSR4,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Nassarius acutus,0,1,2,3
PSR4,Mollusca,Gastropoda,Neogastropoda,Olividae,Olivella dealbata,0,0,1,1
PSR4,Nemertea,Anopla,Paleonemertea,Tubulanidae,Tubulanus sp. A,1,3,4,8
PSR4,Nemertea,,,,Nemertea (LPIL),1,0,4,5
PSR4,Sipuncula,Sipunculidea,Golfingiida,Phascolionidae,Phascolion strombus,4,1,0,5
PSR5,Annelida,Polychaeta,Canalipalpata,Sternaspidae,Sternaspis scutata,1,3,2,6
PSR5,Annelida,Polychaeta,Cossurida,Cossuridae,Cossura soyeri,0,1,2,3
PSR5,Annelida,Polychaeta,Eunicida,Lumbrineridae,Lumbrineridae (LPIL),1,1,1,3
PSR5,Annelida,Polychaeta,Eunicida,Onuphidae,Diopatra cuprea,2,1,2,5
PSR5,Annelida,Polychaeta,Phyllodocida,Hesionidae,Gyptis vittata,0,13,6,19
PSR5,Annelida,Polychaeta,Phyllodocida,Hesionidae,Podarkeopsis levifuscina,0,0,2,2
PSR5,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereididae (LPIL),2,0,0,2
PSR5,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce arenae,0,1,0,1
PSR5,Annelida,Polychaeta,Phyllodocida,Pilargidae,Sigambra (LPIL),0,3,0,3
PSR5,Annelida,Polychaeta,Phyllodocida,Pilargidae,Sigambra tentaculata,1,0,1,2
PSR5,Annelida,Polychaeta,Phyllodocida,Polynoidae,Malmgreniella maccraryae,1,0,0,1
PSR5,Annelida,Polychaeta,Sabellida,Sabellidae,Megalomma bioculatum,0,0,1,1
PSR5,Annelida,Polychaeta,Scolecida,Capitellidae,Mediomastus (LPIL),1,0,0,1
PSR5,Annelida,Polychaeta,Scolecida,Maldanidae,Sabaco elongatus,8,8,15,31
PSR5,Annelida,Polychaeta,Spionida,Chaetopteridae,Spiochaetopterus oculatus,2,8,2,12
PSR5,Annelida,Polychaeta,Spionida,Magelonidae,Magelona uebelackerae,0,2,0,2
PSR5,Annelida,Polychaeta,Spionida,Poecilochaetidae,Poecilochaetus johnsoni,1,0,0,1
PSR5,Annelida,Polychaeta,Spionida,Spionidae,Paraprionospio pinnata,3,4,13,20
PSR5,Annelida,Polychaeta,Terebellida,Cirratulidae,Cirratulidae (LPIL),0,0,1,1
PSR5,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca vadorum,0,0,2,2
PSR5,Arthropoda,Malacostraca,Amphipoda,Liljeborgiidae ,Idunella barnardi,0,1,1,2
PSR5,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Pinnixa sayana,4,9,6,19
PSR5,Cnidaria,Anthozoa,Actiniaria,,Actiniaria (LPIL),0,0,1,1
PSR5,Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Amphiuridae (LPIL),0,0,2,2
PSR5,Echinodermata,Ophiuroidea,Ophiurida,Ophiactidae,Hemipholis elongata,4,0,1,5
PSR5,Echinodermata,,,,Echinodermata (LPIL),0,1,0,1
PSR5,Mollusca,Bivalvia,Arcoida,Arcidae,Anadara floridana,0,0,1,1
PSR5,Mollusca,Bivalvia,Pholadomyoida,Periplomatidae,Periploma orbiculare,1,1,0,2
PSR5,Mollusca,Bivalvia,Venerida,Veneridae,Chione elevata,1,0,0,1
PSR5,Mollusca,Bivalvia,Veneroida,Semelidae,Semele proficua,1,0,0,1
PSR5,Mollusca,Bivalvia,Veneroida,Tellinidae,Tellinidae (LPIL),0,0,1,1
PSR5,Mollusca,Bivalvia,,,Bivalvia (LPIL),0,0,1,1
PSR5,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,Eulimastoma (LPIL),1,0,0,1
PSR5,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Nassarius acutus,1,3,0,4
PSR5,Nemertea,Anopla,Paleonemertea,Tubulanidae,Tubulanus sp. A,0,0,1,1
PSR5,Nemertea,,,,Nemertea (LPIL),0,2,1,3
PSR5,Platyhelminthes,,,,Platyhelminthes (LPIL),0,1,1,2
PSR5,Sipuncula,Sipunculidea,Golfingiida,Phascolionidae,Phascolion strombus,0,2,0,2
